
                                      ARENA Simulation Results
                                      Jacob - License: STUDENT

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date : 5/ 3/2015
Analyst: Jacob                                                       Model revision date: 5/ 3/2015

Replication ended at time      : 10800.0 Seconds 
Base Time Units: Seconds

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Resource 39.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 39.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 40.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 40.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 40.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 41.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 41.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 41.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
Resource 42.NumberBusy                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 42.NumberScheduled                 1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 42.Utilization                     .00000     (Insuf)    .00000     .00000     .00000    
car parks Area 1.Queue.NumberInQueue        39.799     (Insuf)    .00000     42.000     41.000    

                                             OUTPUTS

Identifier                                   Value
_____________________________________________________________

Entity 1.NumberIn                           186.00    
Entity 1.NumberOut                          144.00    
Park Place.NumberSeized                     54.000    
Park Place.ScheduledUtilization             1.0000    
Resource 1.NumberSeized                     .00000    
Resource 1.ScheduledUtilization             .00000    
Resource 2.NumberSeized                     .00000    
Resource 2.ScheduledUtilization             .00000    
Resource 3.NumberSeized                     .00000    
Resource 3.ScheduledUtilization             .00000    
Resource 4.NumberSeized                     .00000    
Resource 4.ScheduledUtilization             .00000    
Resource 5.NumberSeized                     .00000    
Resource 5.ScheduledUtilization             .00000    
Resource 6.NumberSeized                     .00000    
Resource 6.ScheduledUtilization             .00000    
Resource 7.NumberSeized                     .00000    
Resource 7.ScheduledUtilization             .00000    
Resource 8.NumberSeized                     .00000    
Resource 8.ScheduledUtilization             .00000    
Resource 9.NumberSeized                     .00000    
Resource 9.ScheduledUtilization             .00000    
Resource 10.NumberSeized                    .00000    
Resource 10.ScheduledUtilization            .00000    
Resource 11.NumberSeized                    .00000    
Resource 11.ScheduledUtilization            .00000    
Resource 12.NumberSeized                    .00000    
Resource 12.ScheduledUtilization            .00000    
Resource 13.NumberSeized                    .00000    
Resource 13.ScheduledUtilization            .00000    
Resource 14.NumberSeized                    .00000    
Resource 14.ScheduledUtilization            .00000    
Resource 15.NumberSeized                    .00000    
Resource 15.ScheduledUtilization            .00000    
Resource 16.NumberSeized                    .00000    
Resource 16.ScheduledUtilization            .00000    
Resource 17.NumberSeized                    .00000    
Resource 17.ScheduledUtilization            .00000    
Resource 18.NumberSeized                    .00000    
Resource 18.ScheduledUtilization            .00000    
Resource 19.NumberSeized                    .00000    
Resource 19.ScheduledUtilization            .00000    
Resource 20.NumberSeized                    .00000    
Resource 20.ScheduledUtilization            .00000    
Resource 21.NumberSeized                    .00000    
Resource 21.ScheduledUtilization            .00000    
Resource 22.NumberSeized                    .00000    
Resource 22.ScheduledUtilization            .00000    
Resource 23.NumberSeized                    .00000    
Resource 23.ScheduledUtilization            .00000    
Resource 24.NumberSeized                    .00000    
Resource 24.ScheduledUtilization            .00000    
Resource 25.NumberSeized                    .00000    
Resource 25.ScheduledUtilization            .00000    
Resource 26.NumberSeized                    .00000    
Resource 26.ScheduledUtilization            .00000    
Resource 27.NumberSeized                    .00000    
Resource 27.ScheduledUtilization            .00000    
Resource 28.NumberSeized                    .00000    
Resource 28.ScheduledUtilization            .00000    
Resource 29.NumberSeized                    .00000    
Resource 29.ScheduledUtilization            .00000    
Resource 30.NumberSeized                    .00000    
Resource 30.ScheduledUtilization            .00000    
Resource 31.NumberSeized                    .00000    
Resource 31.ScheduledUtilization            .00000    
Resource 32.NumberSeized                    .00000    
Resource 32.ScheduledUtilization            .00000    
Resource 33.NumberSeized                    .00000    
Resource 33.ScheduledUtilization            .00000    
Resource 34.NumberSeized                    .00000    
Resource 34.ScheduledUtilization            .00000    
Resource 35.NumberSeized                    .00000    
Resource 35.ScheduledUtilization            .00000    
Resource 36.NumberSeized                    .00000    
Resource 36.ScheduledUtilization            .00000    
Resource 37.NumberSeized                    .00000    
Resource 37.ScheduledUtilization            .00000    
Resource 38.NumberSeized                    .00000    
Resource 38.ScheduledUtilization            .00000    
Resource 39.NumberSeized                    .00000    
Resource 39.ScheduledUtilization            .00000    
Resource 40.NumberSeized                    .00000    
Resource 40.ScheduledUtilization            .00000    
Resource 41.NumberSeized                    .00000    
Resource 41.ScheduledUtilization            .00000    
Resource 42.NumberSeized                    .00000    
Resource 42.ScheduledUtilization            .00000    
System.NumberOut                            144.00    


Simulation run time: 5.03 minutes.
Simulation run complete.
